Gm28489	chrY	31419544	31423014
Gm21867	chrY	68409633	68410328
Gm29448	chrY	68446562	68447176
Gm20816	chrY	68549224	68551559
Gm29447	chrY	68678874	68682113
Gm29446	chrY	68714125	68717466
Gm29452	chrY	68718880	68719192
Gm29451	chrY	68755564	68756259
Gm20817	chrY	68817865	68843997
Gm28633	chrY	68910098	68912594
Gm21562	chrY	31691308	31691835
Gm29410	chrY	68962559	68963252
Gm28298	chrY	31732883	31735247
Gm21572	chrY	31757555	31758082
Gm28297	chrY	31795357	31797635
Gm21753	chrY	32079749	32080444
Gm21723	chrY	32115184	32115711
Gm28462	chrY	69011221	69012780
Gm28296	chrY	32136979	32139342
Gm21821	chrY	32176464	32176992
Gm28295	chrY	32199403	32201766
Gm29134	chrY	69681445	69681929
Gm28303	chrY	69747529	69748275
Gm28304	chrY	69776073	69776384
Gm28824	chrY	69777798	69781141
Gm21810	chrY	33060550	33061245
Gm21916	chrY	33096043	33096570
Gm29191	chrY	33118945	33121306
Gm28210	chrY	33245210	33245656
Gm29074	chrY	33277090	33280321
Gm28211	chrY	33292586	33296052
Gm28518	chrY	33338010	33341245
Gm28519	chrY	33366948	33370180
Gm28520	chrY	33401372	33404604
Gm21626	chrY	33591015	33591542
Gm28433	chrY	70569681	70569995
Gm28521	chrY	33632972	33635336
Gm28431	chrY	70571399	70574741
Gm21633	chrY	33657681	33658208
Gm28432	chrY	70606727	70609965
Gm28522	chrY	33695556	33697834
Gm21745	chrY	33983534	33984229
Gm28517	chrY	34019043	34019570
Gm29532	chrY	34041726	34044090
Gm29531	chrY	34081254	34081781
Gm28464	chrY	34104200	34106563
Gm28841	chrY	70858526	70859220
Gm29656	chrY	34141780	34142307
Gm28842	chrY	70901967	70905206
Gm29655	chrY	34164715	34167078
Gm28837	chrY	71055755	71056450
Gm21647	chrY	34240427	34271956
Gm29653	chrY	34290974	34291420
Gm28838	chrY	71092740	71093054
Gm29654	chrY	34366261	34369610
Gm28839	chrY	71094465	71097812
Gm29651	chrY	34375474	34376170
Gm29652	chrY	34412574	34413188
Gm29080	chrY	34424335	34425874
Gm21841	chrY	71375583	71376278
Gm29081	chrY	34625479	34628719
Gm29077	chrY	34660686	34664033
Gm29076	chrY	34669893	34670589
Gm29079	chrY	34706715	34707329
Gm29078	chrY	34718477	34720020
Gm20870	chrY	71703312	71729495
Gm29225	chrY	34919203	34922440
Gm28483	chrY	71791138	71791833
Gm29226	chrY	34954443	34957786
Gm28484	chrY	71828169	71828480
Gm29227	chrY	34959198	34959512
Gm29386	chrY	35146091	35149331
Gm29384	chrY	35181234	35184581
Gm21896	chrY	35190684	35191379
Gm29280	chrY	35227068	35227682
Gm29279	chrY	35305688	35306383
Gm29182	chrY	72283195	72286433
Gm28260	chrY	35413791	35417030
Gm28261	chrY	35495302	35495916
Gm28264	chrY	35507028	35508611
Gm28463	chrY	35717131	35720360
Gm21757	chrY	72461052	72461747
Gm28968	chrY	72646481	72647176
Gm28495	chrY	72683478	72683792
Gm28468	chrY	36017393	36018007
Gm29255	chrY	73436584	73439822
Gm28332	chrY	36228508	36231745
Gm28678	chrY	73618131	73618826
Gm28333	chrY	36263746	36267089
Gm28334	chrY	36268499	36268813
Gm28335	chrY	36305080	36305775
Gm20903	chrY	73680584	73706755
Gm28336	chrY	36346482	36346928
Gm28272	chrY	73771842	73772537
Gm28337	chrY	36366108	36390780
Gm29256	chrY	73800413	73800724
Gm28259	chrY	73837428	73840664
Gm28338	chrY	36451056	36454295
Gm28273	chrY	73948074	73948768
Gm29028	chrY	36785886	36789232
Gm29029	chrY	36795121	36795816
Gm29615	chrY	74089372	74090068
Gm29030	chrY	36831137	36831751
Gm29023	chrY	36840242	36844291
Gm29025	chrY	36891289	36894627
Gm29026	chrY	36896033	36896347
Gm28213	chrY	37026432	37027046
Gm28212	chrY	37038156	37039696
Gm28227	chrY	37127875	37128570
Gm20905	chrY	37188765	37214948
Gm29411	chrY	37319397	37320092
Gm28222	chrY	37356291	37356905
Gm28820	chrY	37502673	37505910
Gm28223	chrY	37539682	37539996
Gm29412	chrY	37576237	37576932
